Date/Time,Lat,Lon,DropoffLat,DropoffLon,Base
7/1/2014 0:03:00,40.7586,-73.9706,40.7605,-73.9994,B02512
7/1/2014 0:06:00,40.732,-73.9999,40.7635,-73.9793,B02512
7/1/2014 0:20:00,40.7204,-74.0047,40.7487,-73.9869,B02512
7/1/2014 0:57:00,40.7444,-73.9961,40.7132,-73.9492,B02512
7/1/2014 1:04:00,40.759,-73.973,40.7601,-73.9823,B02512
7/1/2014 1:12:00,40.6951,-74.1784,40.7203,-73.9992,B02512
7/1/2014 1:45:00,40.7575,-73.9721,40.7471,-73.9872,B02512
7/1/2014 2:48:00,40.7808,-73.9565,40.7624,-73.9786,B02512
7/1/2014 3:14:00,40.815,-73.9095,40.7498,-73.9813,B02512
7/1/2014 3:28:00,40.7623,-73.9797,40.7274,-73.9904,B02512
7/1/2014 3:41:00,40.9131,-73.8969,40.8048,-73.957,B02512
7/1/2014 4:01:00,40.7861,-74.0088,40.7203,-73.9928,B02512
7/1/2014 4:21:00,40.7679,-73.9918,40.6879,-74.1816,B02512
7/1/2014 4:52:00,40.7608,-73.9988,40.6879,-74.1815,B02512
7/1/2014 5:07:00,40.7134,-73.9928,40.7758,-73.9837,B02512
7/1/2014 5:13:00,40.645,-73.7819,40.7489,-73.9874,B02512
7/1/2014 5:26:00,40.7484,-73.9785,40.7676,-73.9825,B02512
7/1/2014 5:39:00,40.7791,-73.9826,40.7867,-73.9795,B02512
7/1/2014 5:49:00,40.7356,-74.003,40.6459,-73.7767,B02512
7/1/2014 6:07:00,40.7664,-73.9782,40.6451,-73.7826,B02512
7/1/2014 6:08:00,40.7758,-73.9899,40.7742,-73.9632,B02512
